Title,DOI,Citations
Transparent Machine Learning for Information Extraction: State-of-the-Art and the Future,,0
Personality Research for NLP,,0
Computational Analysis of Affect and Emotion in Language,,0
Robust Semantic Analysis of Multiword Expressions with FrameNet,,0
Knowledge Acquisition for Web Search,,0
Learning Semantic Relations from Text,,0
Applications of Social Media Text Analysis,,0
Dual Decomposition Inference for Graphical Models over Strings,10.18653/v1/D15-1108,0
Semantic Similarity Frontiers: From Concepts to Documents,,0
Syntax-based Rewriting for Simultaneous Machine Translation,10.18653/v1/D15-1006,0
Semi-supervised Dependency Parsing using Bilexical Contextual Features from Auto-Parsed Data,10.18653/v1/D15-1158,0
Search-Aware Tuning for Hierarchical Phrase-based Decoding,10.18653/v1/D15-1149,0
The Overall Markedness of Discourse Relations,10.18653/v1/D15-1132,0
Rule Selection with Soft Syntactic Features for String-to-Tree Statistical Machine Translation,10.18653/v1/D15-1129,0
Keyboard Logs as Natural Annotations for Word Segmentation,10.18653/v1/D15-1140,0
Reinforcing the Topic of Embeddings with Theta Pure Dependence for Text Classification,10.18653/v1/D15-1305,0
Reversibility reconsidered: finite-state factors for efficient probabilistic sampling in parsing and generation,10.18653/v1/D15-1233,0
Experiments with Generative Models for Dependency Tree Linearization,10.18653/v1/D15-1231,0
A Coarse-Grained Model for Optimal Coupling of ASR and SMT Systems for Speech Translation,10.18653/v1/D15-1218,0
Biography-Dependent Collaborative Entity Archiving for Slot Filling,10.18653/v1/D15-1078,0
A Joint Dependency Model of Morphological and Syntactic Structure for Statistical Machine Translation,10.18653/v1/D15-1248,0
Bilingual Structured Language Models for Statistical Machine Translation,10.18653/v1/D15-1287,0
On A Strictly Convex IBM Model 1,10.18653/v1/D15-1023,0
Distributed Representations for Unsupervised Semantic Role Labeling,10.18653/v1/D15-1295,0
