Title,DOI,Citations
Robust Domain Adaptation for Relation Extraction via Clustering Consistency,10.3115/v1/P14-1076,6
Content Importance Models for Scoring Writing From Sources,10.3115/v1/P14-2041,6
Learning Topic Representation for SMT with Neural Networks,10.3115/v1/P14-1013,6
Open Information Extraction for Spanish Language based on Syntactic Constraints,10.3115/v1/P14-3011,6
A Generalized Language Model as the Combination of Skipped n-grams and Modified Kneser Ney Smoothing,10.3115/v1/P14-1108,6
Learning New Semi-Supervised Deep Auto-encoder Features for Statistical Machine Translation,10.3115/v1/P14-1012,6
Enhancing Grammatical Cohesion: Generating Transitional Expressions for SMT,10.3115/v1/P14-1080,6
Effective Selection of Translation Model Training Data,10.3115/v1/P14-2093,5
Biases in Predicting the Human Language Model,10.3115/v1/P14-2002,5
Polynomial Time Joint Structural Inference for Sentence Compression,10.3115/v1/P14-2054,5
A Bayesian Method to Incorporate Background Knowledge during Automatic Text Summarization,10.3115/v1/P14-2055,5
Two Knives Cut Better Than One: Chinese Word Segmentation with Dual Decomposition,10.3115/v1/P14-2032,5
Cross-narrative Temporal Ordering of Medical Events,10.3115/v1/P14-1094,5
Simple Negation Scope Resolution through Deep Parsing: A Semantic Solution to a Semantic Problem,10.3115/v1/P14-1007,5
Exponential Reservoir Sampling for Streaming Language Models,10.3115/v1/P14-2112,5
Unsupervised Feature Learning for Visual Sign Language Identification,10.3115/v1/P14-2061,5
A Step-wise Usage-based Method for Inducing Polysemy-aware Verb Classes,10.3115/v1/P14-1097,5
"Difficult Cases: From Data to Learning, and Back",10.3115/v1/P14-2064,5
Vector spaces for historical linguistics: Using distributional semantics to study syntactic productivity in diachrony,10.3115/v1/P14-2051,5
Improving sparse word similarity models with asymmetric measures,10.3115/v1/P14-2049,5
Be Appropriate and Funny: Automatic Entity Morph Encoding,10.3115/v1/P14-2115,5
An Extension of BLANC to System Mentions,10.3115/v1/P14-2005,5
Enriching Cold Start Personalized Language Model Using Social Network Information,10.3115/v1/P14-2100,5
Decoder Integration and Expected BLEU Training for Recurrent Neural Network Language Models,10.3115/v1/P14-2023,5
Going beyond sentences when applying tree kernels,10.3115/v1/P14-3008,5
Shift-Reduce CCG Parsing with a Dependency Model,10.3115/v1/P14-1021,5
Sprinkling Topics for Weakly Supervised Text Classification,10.3115/v1/P14-2010,5
"Sparser, Better, Faster GPU Parsing",10.3115/v1/P14-1020,5
Learning Translational and Knowledge-based Similarities from Relevance Rankings for Cross-Language Retrieval,10.3115/v1/P14-2080,4
Enhanced Search with Wildcards and Morphological Inflections in the Google Books Ngram Viewer,10.3115/v1/P14-5020,4
Steps to Excellence: Simple Inference with Refined Scoring of Dependency Trees,10.3115/v1/P14-1019,4
Surface Realisation from Knowledge-Bases,10.3115/v1/P14-1040,4
Improved Correction Detection in Revised ESL Sentences,10.3115/v1/P14-2098,4
Grammatical Relations in Chinese: GB-Ground Extraction and Data-Driven Parsing,10.3115/v1/P14-1042,4
Cross-lingual Model Transfer Using Feature Representation Projection,10.3115/v1/P14-2095,4
A Robust Approach to Aligning Heterogeneous Lexical Resources,10.3115/v1/P14-1044,4
Strategies for Contiguous Multiword Expression Analysis and Dependency Parsing,10.3115/v1/P14-1070,4
A Corpus of Sentence-level Revisions in Academic Writing: A Step towards Understanding Statement Strength in Communication,10.3115/v1/P14-2066,4
Resolving Lexical Ambiguity in Tensor Regression Models of Meaning,10.3115/v1/P14-2035,4
Query-Chain Focused Summarization,10.3115/v1/P14-1086,4
The Penn Parsed Corpus of Modern British English: First Parsing Results and Analysis,10.3115/v1/P14-2108,4
Enforcing Structural Diversity in Cube-pruned Dependency Parsing,10.3115/v1/P14-2107,4
The VerbCorner Project: Findings from Phase 1 of crowd-sourcing a semantic decomposition of verbs,10.3115/v1/P14-2065,4
A Hybrid Approach to Skeleton-based Translation,10.3115/v1/P14-2092,4
Looking at Unbalanced Specialized Comparable Corpora for Bilingual Lexicon Extraction,10.3115/v1/P14-1121,4
Detecting Retries of Voice Search Queries,10.3115/v1/P14-2038,4
Approximation Strategies for Multi-Structure Sentence Compression,10.3115/v1/P14-1117,4
Chinese Morphological Analysis with Character-level POS Tagging,10.3115/v1/P14-2042,4
Exploring the Relative Role of Bottom-up and Top-down Information in Phoneme Learning,10.3115/v1/P14-2001,4
Predicting Power Relations between Participants in Written Dialog from a Single Thread,10.3115/v1/P14-2056,4
Generating Code-switched Text for Lexical Learning,10.3115/v1/P14-1053,4
Empirical Study of Unsupervised Chinese Word Segmentation Methods for SMT on Large-scale Corpora,10.3115/v1/P14-2122,4
Improved Typesetting Models for Historical OCR,10.3115/v1/P14-2020,4
Semantic Consistency: A Local Subspace Based Method for Distant Supervised Relation Extraction,10.3115/v1/P14-2117,3
On WordNet Semantic Classes and Dependency Parsing,10.3115/v1/P14-2106,3
Cross-Lingual Information to the Rescue in Keyword Extraction,10.3115/v1/P14-5001,3
Cross-language and Cross-encyclopedia Article Linking Using Mixed-language Topic Model and Hypernym Translation,10.3115/v1/P14-2096,3
Training a Korean SRL System with Rich Morphological Features,10.3115/v1/P14-2104,3
Stochastic Contextual Edit Distance and Probabilistic FSTs,10.3115/v1/P14-2102,3
FAdR: A System for Recognizing False Online Advertisements,10.3115/v1/P14-5018,3
Recognizing Implied Predicate-Argument Relationships in Textual Inference,10.3115/v1/P14-2120,3
Learning Ensembles of Structured Prediction Rules,10.3115/v1/P14-1001,3
Automatically Detecting Corresponding Edit-Turn-Pairs in Wikipedia,10.3115/v1/P14-2031,3
Correcting Preposition Errors in Learner English Using Error Case Frames and Feedback Messages,10.3115/v1/P14-1071,3
Robust Entity Clustering via Phylogenetic Inference,10.3115/v1/P14-1073,3
A Constrained Viterbi Relaxation for Bidirectional Word Alignment,10.3115/v1/P14-1139,3
Toward Better Chinese Word Segmentation for SMT via Bilingual Constraints,10.3115/v1/P14-1128,3
A chance-corrected measure of inter-annotator agreement for syntax,10.3115/v1/P14-1088,3
Detection of Topic and its Extrinsic Evaluation Through Multi-Document Summarization,10.3115/v1/P14-2040,3
Low-Resource Semantic Role Labeling,10.3115/v1/P14-1111,3
A Unified Model for Soft Linguistic Reordering Constraints in Statistical Machine Translation,10.3115/v1/P14-1106,3
Effective Document-Level Features for Chinese Patent Word Segmentation,10.3115/v1/P14-2033,3
